Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
1,127298.0,241185.0,230882.0,498061.0,307232.0,457997.0,494814.0,355693.0,515893.0,472283.0,185257.0,492283.0,2009
2,229137.0,493540.0,471035.0,473586.0,309735.0,483864.0,463542.0,250715.0,497392.0,457268.0,243694.0,502922.0,2009
3,474086.0,482317.0,487136.0,483897.0,204541.0,476921.0,478762.0,475915.0,472283.0,257293.0,490833.0,498186.0,2009
4,199787.0,493693.0,482315.0,347251.0,474876.0,443145.0,357638.0,501562.0,503392.0,243527.0,486643.0,510301.0,2009
5,451847.0,491164.0,471025.0,233745.0,478907.0,486431.0,226216.0,262749.0,369355.0,504078.0,485860.0,395257.0,2009
6,469569.0,510668.0,507380.0,262196.0,491718.0,307654.0,480663.0,468940.0,266581.0,507253.0,517580.0,272321.0,2009
7,485825.0,357563.0,355318.0,459636.0,406828.0,235635.0,473457.0,491421.0,257323.0,500026.0,382514.0,477289.0,2009
8,453748.0,230460.0,263509.0,416238.0,514030.0,487624.0,460013.0,374458.0,480570.0,434150.0,250799.0,480869.0,2009
9,498750.0,486918.0,464759.0,0.0,371214.0,477367.0,456769.0,248998.0,476898.0,501775.0,494022.0,509839.0,2009
10,350329.0,503477.0,479030.0,0.0,233825.0,474203.0,501069.0,492947.0,483458.0,375189.0,488122.0,487993.0,2009
11,247967.0,506862.0,477711.0,0.0,454582.0,470436.0,388575.0,496639.0,507995.0,261506.0,491127.0,516430.0,2009
12,469719.0,483278.0,454663.0,0.0,486982.0,219169.0,225855.0,474536.0,353725.0,486733.0,486072.0,408793.0,2009
13,470825.0,508122.0,482919.0,461600.0,475387.0,318899.0,468962.0,527227.0,236852.0,466023.0,524164.0,280862.0,2009
